variable,alpha_score,items selection method,ommited items
alpha_factor2_1,0.689877905,,
alpha_factor2_2,0.489624995,,
alpha_factor3_1,0.605931808,,
alpha_factor3_2,0.483052432,,
alpha_factor3_3,0.522731696,,
alpha_factor4_1,0.656848981,,
alpha_factor4_2,0.500283692,,
alpha_factor4_3,0.483052432,,
alpha_factor4_4,0.468718212,,
alpha_media,0.598714763,max,none
,,,
alpha_qol,0.87324491,max,none
alpha_qol_factor1,0.857552811,,
alpha_qol_factor2,0.804477385,,
alpha_qol_factor3,0.692615642,,
,,,
,,,
alpha_resilience,0.857,max,none
,,,
alpha_phone,0.741,max,none
,,,
alpha_stress,0.289,NOTE: using even low threshold deletes 5/9 of the items -  0.69 (almost good) (but factors still bad).,>
alpha_stress_2_1,0.241,,
alpha_stress_2_2,0.606,,
